source,target,score
894,16984,24.7
894,10640,24.71
894,5412,24.72
970,18981,21.22
970,16549,21.61
970,23994,22.15
970,5182,22.37
970,5263,22.59
970,17765,22.82
970,22916,22.97
970,23116,22.99
970,22939,22.99
970,1670,23.02
970,20289,23.03
970,15577,23.19
970,7191,23.19
970,3079,23.25
970,17618,23.3
970,8758,23.33
970,1146,23.36
970,13843,23.39
970,1538,23.45
970,5544,23.55
970,3871,23.64
970,22941,23.69
970,2076,23.73
970,7702,23.76
970,24203,23.81
970,3983,23.88
970,10938,23.9
970,22191,23.94
970,22637,24.0
970,24386,24.02
970,5536,24.02
970,2269,24.03
970,10935,24.13
970,18997,24.14
970,10952,24.16
970,11558,24.17
970,14133,24.19
970,18396,24.25
970,12854,24.26
970,23544,24.28
970,9420,24.3
970,7115,24.32
970,15873,24.33
970,14464,24.33
970,8621,24.35
970,24674,24.35
970,13602,24.36
970,18314,24.38
970,19489,24.39
970,18901,24.4
970,18856,24.41
970,22105,24.42
970,4422,24.45
970,20649,24.46
970,11225,24.47
970,15913,24.47
970,25382,24.49
970,14863,24.49
970,2535,24.51
970,1593,24.51
970,3028,24.52
970,18605,24.55
970,10117,24.59
970,16492,24.6
970,20447,24.6
970,20724,24.61
970,15928,24.62
970,14266,24.64
970,16199,24.65
970,12025,24.67
970,19349,24.68
970,20009,24.69
970,21391,24.72
990,21708,20.99
990,2592,21.32
990,4688,21.62
990,5265,21.68
990,13009,22.01
990,22363,22.07
990,15267,22.19
990,17451,22.26
990,1561,22.27
990,23993,22.33
990,25005,22.41
990,19833,22.42
990,2104,22.63
990,25860,22.82
990,16011,22.88
990,3948,22.9
990,10815,22.98
990,15813,22.98
990,7353,23.11
990,1556,23.15
990,20691,23.18
990,10640,23.19
990,5395,23.2
990,18577,23.26
990,16859,23.26
990,25812,23.33
990,15902,23.33
990,10466,23.33
990,13447,23.36
